time_s,T_K,HRR_kW,O2_volpct,CO2_volpct,H2O_volpct,fuel_kg,inhib_kgm3,inert_kgm3,ACH,agent_mdot_kgps,reward
0.020000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.100000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.220000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.320000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.400000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.500000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.600000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.700000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.800000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
0.900000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.000000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.100000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.200000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.300000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.400000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.500000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.600000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.700000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.800000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
1.900000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
2.000000,295.150000,0.000000,20.950000,0.042000,1.000000,50.000000,0.000000,0.000000,3.000000,0.000000,10.000000
2.100000,295.181794,74.639739,20.949482,0.042154,1.000141,49.999000,0.000000,0.000000,3.000000,0.000000,10.000000
2.200000,295.259644,136.271621,20.948652,0.042532,1.000507,49.998000,0.000000,0.000000,3.000000,0.000000,10.000000
2.300000,295.375420,187.160458,20.947564,0.043095,1.001059,49.997000,0.000000,0.000000,3.000000,0.000000,10.000000
2.400000,295.522409,229.177561,20.946263,0.043811,1.001764,49.996000,0.000000,0.000000,3.000000,0.000000,10.000000
2.500000,295.695067,263.868817,20.944785,0.044653,1.002597,49.995000,0.000000,0.000000,3.000000,0.000000,10.000000
2.600000,295.888818,292.511093,20.943163,0.045599,1.003534,49.994000,0.000000,0.000000,3.000000,0.000000,10.000000
2.700000,296.099882,316.158916,20.941420,0.046631,1.004557,49.993000,0.000000,0.000000,3.000000,0.000000,10.000000
2.800000,296.325140,335.683115,20.939579,0.047734,1.005651,49.992000,0.000000,0.000000,3.000000,0.000000,10.000000
2.900000,296.562016,351.802757,20.937656,0.048896,1.006804,49.991000,0.000000,0.000000,3.000000,0.000000,10.000000
3.000000,296.808383,365.111567,20.935666,0.050105,1.008006,49.990000,0.000000,0.000000,3.000000,0.000000,10.000000
3.100000,297.062486,376.099750,20.933621,0.051355,1.009248,49.989000,0.000000,0.000000,3.000000,0.000000,10.000000
3.200000,297.322876,385.172030,20.931529,0.052637,1.010523,49.988000,0.000000,0.000000,3.000000,0.000000,10.000000
3.300000,297.588355,392.662545,20.929400,0.053947,1.011825,49.987000,0.000000,0.000000,3.000000,0.000000,10.000000
3.400000,297.857938,398.847153,20.927239,0.055279,1.013149,49.986000,0.000000,0.000000,3.000000,0.000000,10.000000
3.500000,298.130808,403.953598,20.925053,0.056629,1.014493,49.985000,0.000000,0.000000,3.000000,0.000000,10.000000
3.600000,298.406292,408.169898,20.922846,0.057995,1.015851,49.984000,0.000000,0.000000,3.000000,0.000000,10.000000
3.700000,298.683835,411.651274,20.920621,0.059373,1.017222,49.983000,0.000000,0.000000,3.000000,0.000000,10.000000
3.800000,298.962979,414.525874,20.918382,0.060762,1.018603,49.982000,0.000000,0.000000,3.000000,0.000000,10.000000
3.900000,299.243344,416.899494,20.916131,0.062159,1.019993,49.981000,0.000000,0.000000,3.000000,0.000000,10.000000
4.000000,299.524619,418.859476,20.913870,0.063563,1.021390,49.980000,0.000000,0.000000,3.000000,0.000000,10.000000
4.120000,299.862990,420.766074,20.911147,0.065255,1.023074,49.978800,0.000000,0.000000,3.000000,0.000000,10.000000
4.220000,300.145422,422.052334,20.908870,0.066670,1.024482,49.977800,0.000000,0.000000,3.000000,0.000000,10.000000
4.320000,300.428086,423.114504,20.906589,0.068089,1.025894,49.976800,0.000000,0.000000,3.000000,0.000000,10.000000
4.420000,300.710842,423.991640,20.904303,0.069511,1.027309,49.975800,0.000000,0.000000,3.000000,0.000000,10.000000
4.520000,300.993576,424.715987,20.902014,0.070936,1.028727,49.974800,0.000000,0.000000,3.000000,0.000000,10.000000
4.620000,301.276193,425.314171,20.899721,0.072362,1.030146,49.973800,0.000000,0.000000,3.000000,0.000000,10.000000
4.720000,301.558615,425.808173,20.897427,0.073790,1.031568,49.972800,0.000000,0.000000,3.000000,0.000000,10.000000
4.820000,301.840777,426.216145,20.895131,0.075220,1.032990,49.971800,0.000000,0.000000,3.000000,0.000000,10.000000
4.920000,302.122626,426.553075,20.892833,0.076651,1.034414,49.970800,0.000000,0.000000,3.000000,0.000000,10.000000
5.020000,302.404119,426.831337,20.890534,0.078082,1.035839,49.969800,0.000000,0.000000,3.000000,0.000000,10.000000
5.120000,302.633263,426.937343,20.886080,0.079506,1.037157,49.968800,0.000063,0.000187,3.000000,0.300000,9.400000
5.220000,302.861982,427.024762,20.881627,0.080930,1.038475,49.967800,0.000125,0.000375,3.000000,0.300000,9.400000
5.320000,303.090265,427.096824,20.877175,0.082353,1.039793,49.966800,0.000188,0.000562,3.000000,0.300000,9.400000
5.420000,303.318105,427.156162,20.872724,0.083776,1.041110,49.965800,0.000250,0.000750,3.000000,0.300000,9.400000
5.520000,303.545493,427.204894,20.868274,0.085199,1.042428,49.964800,0.000313,0.000937,3.000000,0.300000,9.400000
5.620000,303.772423,427.244697,20.863826,0.086622,1.043745,49.963800,0.000375,0.001125,3.000000,0.300000,9.400000
5.720000,303.998891,427.276851,20.859378,0.088045,1.045062,49.962800,0.000438,0.001312,3.000000,0.300000,9.400000
5.820000,304.224893,427.302291,20.854932,0.089467,1.046378,49.961800,0.000500,0.001499,3.000000,0.300000,9.400000
5.920000,304.450425,427.321647,20.850487,0.090888,1.047695,49.960800,0.000563,0.001687,3.000000,0.300000,9.400000
6.020000,304.675483,427.335307,20.846043,0.092310,1.049011,49.959800,0.000625,0.001874,3.000000,0.300000,9.400000
6.120000,304.900065,427.343444,20.841600,0.093731,1.050326,49.958800,0.000688,0.002062,3.000000,0.300000,9.400000
6.220000,305.124167,427.346040,20.837159,0.095151,1.051642,49.957800,0.000750,0.002249,3.000000,0.300000,9.400000
6.320000,305.347786,427.342909,20.832719,0.096571,1.052956,49.956800,0.000813,0.002436,3.000000,0.300000,9.400000
6.420000,305.570920,427.333721,20.828281,0.097991,1.054271,49.955800,0.000875,0.002623,3.000000,0.300000,9.400000
6.520000,305.793563,427.318020,20.823843,0.099410,1.055585,49.954800,0.000938,0.002811,3.000000,0.300000,9.400000
6.620000,306.015714,427.295241,20.819408,0.100829,1.056899,49.953801,0.001000,0.002998,3.000000,0.300000,9.400000
6.720000,306.237366,427.264723,20.814973,0.102248,1.058212,49.952801,0.001063,0.003185,3.000000,0.300000,9.400000
6.820000,306.458515,427.225723,20.810540,0.103666,1.059525,49.951801,0.001125,0.003372,3.000000,0.300000,9.400000
6.920000,306.679157,427.177430,20.806108,0.105083,1.060837,49.950801,0.001188,0.003560,3.000000,0.300000,9.400000
7.020000,306.899284,427.118974,20.801678,0.106500,1.062149,49.949802,0.001250,0.003747,3.000000,0.300000,9.400000
7.120000,307.118891,427.049437,20.797250,0.107917,1.063461,49.948802,0.001313,0.003934,3.000000,0.300000,9.400000
7.220000,307.337970,426.967861,20.792822,0.109333,1.064772,49.947803,0.001375,0.004121,3.000000,0.300000,9.400000
7.320000,307.556514,426.873260,20.788397,0.110748,1.066082,49.946804,0.001438,0.004308,3.000000,0.300000,9.400000
7.420000,307.774513,426.764625,20.783972,0.112163,1.067392,49.945805,0.001500,0.004495,3.000000,0.300000,9.400000
7.520000,307.991960,426.640936,20.779550,0.113578,1.068702,49.944806,0.001563,0.004683,3.000000,0.300000,9.400000
7.620000,308.208843,426.501163,20.775129,0.114992,1.070011,49.943807,0.001625,0.004870,3.000000,0.300000,9.400000
7.720000,308.425153,426.344279,20.770710,0.116405,1.071319,49.942809,0.001688,0.005057,3.000000,0.300000,9.400000
7.820000,308.640878,426.169264,20.766292,0.117817,1.072627,49.941810,0.001750,0.005244,3.000000,0.300000,9.400000
7.920000,308.856006,425.975111,20.761876,0.119229,1.073934,49.940812,0.001813,0.005431,3.000000,0.300000,9.400000
8.020000,309.070525,425.760832,20.757462,0.120640,1.075240,49.939815,0.001875,0.005618,3.000000,0.300000,9.400000
8.120000,309.284422,425.525466,20.753050,0.122051,1.076546,49.938817,0.001938,0.005805,3.000000,0.300000,9.400000
8.220000,309.497683,425.268080,20.748640,0.123460,1.077851,49.937820,0.002000,0.005992,3.000000,0.300000,9.400000
8.320000,309.710293,424.987778,20.744232,0.124869,1.079155,49.936824,0.002063,0.006179,3.000000,0.300000,9.400000
8.420000,309.922237,424.683702,20.739826,0.126277,1.080459,49.935828,0.002125,0.006366,3.000000,0.300000,9.400000
8.520000,310.133501,424.355041,20.735421,0.127684,1.081761,49.934832,0.002188,0.006553,3.000000,0.300000,9.400000
8.620000,310.344068,424.001029,20.731019,0.129091,1.083063,49.933836,0.002250,0.006740,3.000000,0.300000,9.400000
8.720000,310.553921,423.620953,20.726619,0.130496,1.084364,49.932842,0.002313,0.006927,3.000000,0.300000,9.400000
8.820000,310.763044,423.214155,20.722222,0.131901,1.085664,49.931847,0.002375,0.007114,3.000000,0.300000,9.400000
8.920000,310.971420,422.780035,20.717827,0.133304,1.086963,49.930854,0.002438,0.007301,3.000000,0.300000,9.400000
9.020000,311.179031,422.318053,20.713434,0.134706,1.088261,49.929861,0.002500,0.007487,3.000000,0.300000,9.400000
9.120000,311.385859,421.827731,20.709043,0.136107,1.089558,49.928868,0.002563,0.007674,3.000000,0.300000,9.400000
9.220000,311.591886,421.308655,20.704656,0.137507,1.090853,49.927876,0.002625,0.007861,3.000000,0.300000,9.400000
9.320000,311.797093,420.760479,20.700270,0.138906,1.092148,49.926885,0.002688,0.008048,3.000000,0.300000,9.400000
9.420000,312.001463,420.182920,20.695888,0.140304,1.093441,49.925895,0.002750,0.008235,3.000000,0.300000,9.400000
9.520000,312.204976,419.575767,20.691508,0.141700,1.094733,49.924905,0.002813,0.008422,3.000000,0.300000,9.400000
9.620000,312.407614,418.938873,20.687131,0.143095,1.096024,49.923917,0.002875,0.008608,3.000000,0.300000,9.400000
9.720000,312.609358,418.272162,20.682757,0.144489,1.097314,49.922929,0.002938,0.008795,3.000000,0.300000,9.400000
9.820000,312.810189,417.575622,20.678387,0.145881,1.098602,49.921942,0.003000,0.008982,3.000000,0.300000,9.400000
9.920000,313.010089,416.849312,20.674019,0.147271,1.099888,49.920956,0.003063,0.009169,3.000000,0.300000,9.400000
10.020000,313.209040,416.093355,20.669654,0.148661,1.101173,49.919971,0.003125,0.009355,3.000000,0.300000,9.400000
10.120000,313.407022,415.307940,20.665293,0.150048,1.102457,49.918987,0.003188,0.009542,3.000000,0.300000,9.400000
10.220000,313.604018,414.493318,20.660935,0.151434,1.103739,49.918004,0.003250,0.009729,3.000000,0.300000,9.400000
10.320000,313.800010,413.649802,20.656580,0.152818,1.105019,49.917022,0.003313,0.009916,3.000000,0.300000,9.400000
10.420000,313.994980,412.777767,20.652229,0.154200,1.106298,49.916041,0.003375,0.010102,3.000000,0.300000,9.400000
10.520000,314.188911,411.877643,20.647882,0.155581,1.107575,49.915062,0.003438,0.010289,3.000000,0.300000,9.400000
10.620000,314.381786,410.949916,20.643538,0.156960,1.108850,49.914083,0.003500,0.010475,3.000000,0.300000,9.400000
10.720000,314.573589,409.995125,20.639198,0.158337,1.110123,49.913106,0.003563,0.010662,3.000000,0.300000,9.400000
10.820000,314.764303,409.013859,20.634861,0.159712,1.111394,49.912130,0.003625,0.010849,3.000000,0.300000,9.400000
10.920000,314.953913,408.006753,20.630529,0.161085,1.112663,49.911155,0.003688,0.011035,3.000000,0.300000,9.400000
11.020000,315.142404,406.974487,20.626200,0.162456,1.113931,49.910182,0.003750,0.011222,3.000000,0.300000,9.400000
11.120000,315.329761,405.917782,20.621876,0.163825,1.115196,49.909210,0.003813,0.011408,3.000000,0.300000,9.400000
11.220000,315.515970,404.837397,20.617555,0.165191,1.116459,49.908239,0.003875,0.011595,3.000000,0.300000,9.400000
11.320000,315.701018,403.734124,20.613239,0.166556,1.117721,49.907270,0.003938,0.011781,3.000000,0.300000,9.400000
11.420000,315.884892,402.608789,20.608927,0.167918,1.118979,49.906302,0.004000,0.011968,3.000000,0.300000,9.400000
11.520000,316.067579,401.462246,20.604620,0.169278,1.120236,49.905335,0.004063,0.012154,3.000000,0.300000,9.400000
11.620000,316.249069,400.295371,20.600316,0.170636,1.121491,49.904370,0.004125,0.012341,3.000000,0.300000,9.400000
11.720000,316.429349,399.109067,20.596018,0.171992,1.122743,49.903407,0.004188,0.012527,3.000000,0.300000,9.400000
11.820000,316.608410,397.904250,20.591723,0.173345,1.123993,49.902445,0.004250,0.012714,3.000000,0.300000,9.400000
11.920000,316.786242,396.681857,20.587433,0.174695,1.125240,49.901484,0.004312,0.012900,3.000000,0.300000,9.400000
12.020000,316.962836,395.442833,20.583148,0.176044,1.126485,49.900526,0.004375,0.013087,3.000000,0.300000,9.400000
12.120000,317.138184,394.188137,20.578868,0.177390,1.127728,49.899568,0.004437,0.013273,3.000000,0.300000,9.400000
12.220000,317.312277,392.918731,20.574592,0.178733,1.128968,49.898613,0.004500,0.013459,3.000000,0.300000,9.400000
12.320000,317.485110,391.635582,20.570321,0.180074,1.130206,49.897659,0.004562,0.013646,3.000000,0.300000,9.400000
12.420000,317.656676,390.339661,20.566054,0.181412,1.131441,49.896706,0.004625,0.013832,3.000000,0.300000,9.400000
12.520000,317.826970,389.031934,20.561793,0.182747,1.132674,49.895755,0.004687,0.014019,3.000000,0.300000,9.400000
12.620000,317.995985,387.713366,20.557536,0.184080,1.133904,49.894806,0.004750,0.014205,3.000000,0.300000,9.400000
12.720000,318.163719,386.384915,20.553285,0.185411,1.135131,49.893859,0.004812,0.014391,3.000000,0.300000,9.400000
12.820000,318.330168,385.047532,20.549038,0.186738,1.136356,49.892913,0.004875,0.014577,3.000000,0.300000,9.400000
12.920000,318.495329,383.702156,20.544796,0.188063,1.137578,49.891969,0.004937,0.014764,3.000000,0.300000,9.400000
13.020000,318.659199,382.349716,20.540559,0.189386,1.138798,49.891027,0.005000,0.014950,3.000000,0.300000,9.400000
13.120000,318.821777,380.991126,20.536328,0.190705,1.140015,49.890086,0.005062,0.015136,3.000000,0.300000,9.400000
13.220000,318.983062,379.627286,20.532101,0.192022,1.141229,49.889147,0.005125,0.015322,3.000000,0.300000,9.400000
13.320000,319.143054,378.259077,20.527880,0.193336,1.142440,49.888210,0.005187,0.015509,3.000000,0.300000,9.400000
13.420000,319.301753,376.887364,20.523663,0.194647,1.143649,49.887275,0.005250,0.015695,3.000000,0.300000,9.400000
13.520000,319.459159,375.512991,20.519452,0.195955,1.144855,49.886341,0.005312,0.015881,3.000000,0.300000,9.400000
13.620000,319.615275,374.136783,20.515246,0.197261,1.146058,49.885409,0.005375,0.016067,3.000000,0.300000,9.400000
13.720000,319.770102,372.759542,20.511045,0.198564,1.147258,49.884479,0.005437,0.016253,3.000000,0.300000,9.400000
13.820000,319.923643,371.382048,20.506849,0.199864,1.148456,49.883550,0.005500,0.016440,3.000000,0.300000,9.400000
13.920000,320.075900,370.005059,20.502659,0.201161,1.149651,49.882624,0.005562,0.016626,3.000000,0.300000,9.400000
14.020000,320.226877,368.629308,20.498473,0.202455,1.150843,49.881699,0.005625,0.016812,3.000000,0.300000,9.400000
14.120000,320.376578,367.255504,20.494293,0.203747,1.152032,49.880775,0.005687,0.016998,3.000000,0.300000,9.400000
14.220000,320.525009,365.884333,20.490118,0.205036,1.153218,49.879854,0.005750,0.017184,3.000000,0.300000,9.400000
14.320000,320.672172,364.516452,20.485948,0.206321,1.154402,49.878934,0.005812,0.017370,3.000000,0.300000,9.400000
14.420000,320.818075,363.152498,20.481784,0.207604,1.155583,49.878016,0.005875,0.017556,3.000000,0.300000,9.400000
14.520000,320.962722,361.793079,20.477624,0.208884,1.156761,49.877100,0.005937,0.017742,3.000000,0.300000,9.400000
14.620000,321.106120,360.438778,20.473470,0.210162,1.157936,49.876185,0.006000,0.017928,3.000000,0.300000,9.400000
14.720000,321.248276,359.090154,20.469321,0.211436,1.159109,49.875272,0.006062,0.018114,3.000000,0.300000,9.400000
14.820000,321.389196,357.747741,20.465177,0.212708,1.160278,49.874361,0.006125,0.018300,3.000000,0.300000,9.400000
14.920000,321.528887,356.412045,20.461038,0.213977,1.161445,49.873452,0.006187,0.018486,3.000000,0.300000,9.400000
15.020000,321.667358,355.083549,20.456905,0.215243,1.162609,49.872544,0.006250,0.018672,3.000000,0.300000,9.400000
15.120000,321.804615,353.762713,20.452776,0.216506,1.163771,49.871638,0.006312,0.018858,3.000000,0.300000,9.400000
15.220000,321.940668,352.449969,20.448653,0.217766,1.164929,49.870734,0.006375,0.019044,3.000000,0.300000,9.400000
15.320000,322.075524,351.145728,20.444535,0.219024,1.166085,49.869831,0.006437,0.019230,3.000000,0.300000,9.400000
15.420000,322.209193,349.850377,20.440422,0.220278,1.167238,49.868930,0.006500,0.019416,3.000000,0.300000,9.400000
15.520000,322.341682,348.564277,20.436314,0.221530,1.168388,49.868030,0.006562,0.019601,3.000000,0.300000,9.400000
15.620000,322.473002,347.287770,20.432211,0.222780,1.169536,49.867133,0.006625,0.019787,3.000000,0.300000,9.400000
15.720000,322.603161,346.021175,20.428113,0.224026,1.170681,49.866237,0.006687,0.019973,3.000000,0.300000,9.400000
15.820000,322.732170,344.764787,20.424020,0.225270,1.171823,49.865342,0.006750,0.020159,3.000000,0.300000,9.400000
15.920000,322.860037,343.518883,20.419932,0.226511,1.172963,49.864449,0.006812,0.020345,3.000000,0.300000,9.400000
16.020000,322.986773,342.283718,20.415849,0.227749,1.174100,49.863558,0.006875,0.020531,3.000000,0.300000,9.400000
16.120000,323.112387,341.059527,20.411771,0.228985,1.175234,49.862668,0.006937,0.020716,3.000000,0.300000,9.400000
16.220000,323.236890,339.846526,20.407698,0.230218,1.176365,49.861780,0.007000,0.020902,3.000000,0.300000,9.400000
16.320000,323.360292,338.644912,20.403629,0.231448,1.177494,49.860893,0.007062,0.021088,3.000000,0.300000,9.400000
16.420000,323.482603,337.454864,20.399566,0.232676,1.178621,49.860008,0.007125,0.021274,3.000000,0.300000,9.400000
16.520000,323.603835,336.276544,20.395507,0.233901,1.179745,49.859125,0.007187,0.021459,3.000000,0.300000,9.400000
16.620000,323.723996,335.110097,20.391453,0.235124,1.180866,49.858243,0.007250,0.021645,3.000000,0.300000,9.400000
16.720000,323.843098,333.955650,20.387404,0.236343,1.181985,49.857362,0.007312,0.021831,3.000000,0.300000,9.400000
16.820000,323.961152,332.813317,20.383360,0.237561,1.183101,49.856483,0.007375,0.022016,3.000000,0.300000,9.400000
16.920000,324.078168,331.683195,20.379320,0.238775,1.184214,49.855606,0.007437,0.022202,3.000000,0.300000,9.400000
17.020000,324.194156,330.565367,20.375285,0.239988,1.185326,49.854730,0.007500,0.022388,3.000000,0.300000,9.400000
17.120000,324.309129,329.459904,20.371255,0.241197,1.186434,49.853855,0.007562,0.022573,3.000000,0.300000,9.400000
17.220000,324.423095,328.366861,20.367229,0.242405,1.187541,49.852982,0.007625,0.022759,3.000000,0.300000,9.400000
17.320000,324.536067,327.286282,20.363208,0.243609,1.188644,49.852110,0.007687,0.022945,3.000000,0.300000,9.400000
17.420000,324.648055,326.218198,20.359191,0.244812,1.189746,49.851240,0.007750,0.023130,3.000000,0.300000,9.400000
17.520000,324.759069,325.162629,20.355179,0.246012,1.190845,49.850371,0.007812,0.023316,3.000000,0.300000,9.400000
17.620000,324.869121,324.119584,20.351171,0.247209,1.191941,49.849503,0.007875,0.023501,3.000000,0.300000,9.400000
17.720000,324.978221,323.089062,20.347168,0.248404,1.193036,49.848637,0.007937,0.023687,3.000000,0.300000,9.400000
17.820000,325.086380,322.071051,20.343169,0.249597,1.194128,49.847772,0.008000,0.023872,3.000000,0.300000,9.400000
17.920000,325.193608,321.065530,20.339175,0.250787,1.195217,49.846908,0.008062,0.024058,3.000000,0.300000,9.400000
18.020000,325.299916,320.072471,20.335185,0.251975,1.196305,49.846046,0.008125,0.024243,3.000000,0.300000,9.400000
18.120000,325.405315,319.091833,20.331199,0.253161,1.197390,49.845185,0.008187,0.024429,3.000000,0.300000,9.400000
18.220000,325.509816,318.123572,20.327217,0.254345,1.198473,49.844325,0.008250,0.024614,3.000000,0.300000,9.400000
18.320000,325.613427,317.167635,20.323240,0.255526,1.199554,49.843467,0.008312,0.024800,3.000000,0.300000,9.400000
18.420000,325.716161,316.223959,20.319266,0.256705,1.200632,49.842609,0.008375,0.024985,3.000000,0.300000,9.400000
18.520000,325.818027,315.292479,20.315297,0.257882,1.201708,49.841754,0.008437,0.025170,3.000000,0.300000,9.400000
18.620000,325.919036,314.373121,20.311332,0.259056,1.202783,49.840899,0.008500,0.025356,3.000000,0.300000,9.400000
18.720000,326.019198,313.465805,20.307372,0.260229,1.203855,49.840045,0.008562,0.025541,3.000000,0.300000,9.400000
18.820000,326.118522,312.570447,20.303415,0.261399,1.204924,49.839193,0.008625,0.025727,3.000000,0.300000,9.400000
18.920000,326.217019,311.686957,20.299462,0.262567,1.205992,49.838342,0.008687,0.025912,3.000000,0.300000,9.400000
19.020000,326.314699,310.815242,20.295513,0.263733,1.207058,49.837492,0.008750,0.026097,3.000000,0.300000,9.400000
19.120000,326.411572,309.955201,20.291568,0.264897,1.208122,49.836643,0.008812,0.026283,3.000000,0.300000,9.400000
19.220000,326.507647,309.106733,20.287627,0.266059,1.209183,49.835795,0.008875,0.026468,3.000000,0.300000,9.400000
19.320000,326.602934,308.269731,20.283690,0.267219,1.210243,49.834949,0.008937,0.026653,3.000000,0.300000,9.400000
19.420000,326.697442,307.444084,20.279757,0.268377,1.211301,49.834103,0.009000,0.026838,3.000000,0.300000,9.400000
19.520000,326.791182,306.629681,20.275827,0.269533,1.212357,49.833259,0.009062,0.027024,3.000000,0.300000,9.400000
19.620000,326.884162,305.826405,20.271902,0.270686,1.213410,49.832415,0.009125,0.027209,3.000000,0.300000,9.400000
19.720000,326.976391,305.034138,20.267980,0.271838,1.214462,49.831573,0.009187,0.027394,3.000000,0.300000,9.400000
19.820000,327.067879,304.252760,20.264061,0.272988,1.215512,49.830732,0.009250,0.027579,3.000000,0.300000,9.400000
19.920000,327.158635,303.482146,20.260147,0.274136,1.216560,49.829892,0.009312,0.027765,3.000000,0.300000,9.400000
